                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.248,                  3.174,                 1.8432,                0.40148,                0.40344,                 0.3092,                0.17862,                 1.3042,                 2.4371,                 1.8187,             0.00025398,             0.00025398,             0.00025398
                      2,                 1.1554,                 2.4486,                 1.7479,                0.24419,                0.69717,                0.33921,                 0.1978,                 1.3211,                 2.0372,                 2.0247,             0.00050021,             0.00050021,             0.00050021
                      3,                 1.1674,                 2.2447,                 1.7642,                0.35069,                0.67476,                0.36688,                 0.2318,                 1.1215,                 2.0552,                 1.6602,             0.00073629,             0.00073629,             0.00073629
                      4,                 1.1216,                 2.0303,                 1.7317,                 0.3639,                0.73667,                 0.4536,                0.26058,                 1.2815,                 1.7486,                 2.0779,             0.00072332,             0.00072332,             0.00072332
                      5,                 1.0813,                  1.886,                 1.6778,                0.37332,                0.81921,                0.47807,                0.26588,                 1.2289,                 1.4929,                 1.7717,              0.0007081,              0.0007081,              0.0007081
                      6,                  1.053,                 1.7783,                 1.6512,                0.34648,                0.92806,                0.58863,                0.36264,                 1.0533,                 1.3604,                 1.5307,             0.00069287,             0.00069287,             0.00069287
                      7,                0.99656,                 1.6893,                 1.5988,                0.50327,                0.81536,                0.57736,                0.34592,                 1.0928,                 1.2888,                 1.5547,             0.00067764,             0.00067764,             0.00067764
                      8,                0.95419,                  1.619,                 1.5542,                0.53756,                0.84536,                0.63019,                0.39852,                 1.0302,                 1.1598,                  1.503,             0.00066242,             0.00066242,             0.00066242
                      9,                 0.9287,                 1.5671,                 1.5464,                0.45741,                0.92561,                0.61118,                0.39558,                 1.0052,                 1.1758,                 1.4303,             0.00064719,             0.00064719,             0.00064719
                     10,                0.89267,                 1.5241,                 1.5131,                0.50971,                 0.9409,                0.63599,                0.42458,                 0.9022,                  1.044,                 1.3587,             0.00063196,             0.00063196,             0.00063196
                     11,                0.88518,                 1.4928,                 1.4953,                 0.5174,                0.94348,                0.62618,                0.44336,                0.85369,                 1.0987,                 1.3118,             0.00061674,             0.00061674,             0.00061674
                     12,                0.87369,                 1.4363,                 1.4751,                0.58446,                0.85576,                0.65367,                0.43898,                0.89588,                 1.0447,                 1.3255,             0.00060151,             0.00060151,             0.00060151
                     13,                0.84491,                 1.4122,                 1.4621,                0.47639,                0.95149,                0.65619,                 0.4358,                0.96665,                 1.0503,                 1.4441,             0.00058629,             0.00058629,             0.00058629
                     14,                0.82037,                 1.3555,                 1.4357,                0.45456,                0.98172,                0.65842,                0.47069,                0.80002,                 0.9693,                  1.228,             0.00057106,             0.00057106,             0.00057106
                     15,                0.81297,                  1.345,                 1.4172,                0.56039,                0.97873,                0.67798,                0.50738,                0.78929,                0.94617,                 1.2118,             0.00055583,             0.00055583,             0.00055583
                     16,                0.80551,                 1.3295,                 1.4233,                0.52937,                0.89872,                0.66935,                0.48389,                0.82849,                0.97823,                 1.2344,             0.00054061,             0.00054061,             0.00054061
                     17,                 0.7883,                 1.2995,                 1.4029,                0.54328,                0.90131,                0.66854,                0.48607,                0.79985,                0.91884,                 1.2341,             0.00052538,             0.00052538,             0.00052538
                     18,                0.79463,                  1.283,                 1.4052,                0.60754,                0.88396,                0.68825,                0.50707,                0.76806,                0.88754,                 1.1844,             0.00051015,             0.00051015,             0.00051015
                     19,                0.77207,                 1.2788,                 1.3832,                0.59467,                0.90993,                0.68916,                0.51226,                0.78201,                 0.8935,                 1.2008,             0.00049493,             0.00049493,             0.00049493
                     20,                0.77505,                 1.2536,                 1.3895,                0.60934,                0.89243,                0.69622,                0.52575,                0.71783,                0.84461,                 1.1308,              0.0004797,              0.0004797,              0.0004797
                     21,                 0.7593,                 1.2419,                 1.3712,                 0.5664,                0.89113,                0.68793,                0.51142,                 0.7445,                0.87491,                 1.1668,             0.00046448,             0.00046448,             0.00046448
                     22,                0.77663,                 1.2224,                 1.3876,                0.61374,                0.95118,                0.69504,                0.51094,                0.78546,                0.86394,                 1.1984,             0.00044925,             0.00044925,             0.00044925
                     23,                0.73517,                 1.1949,                 1.3505,                0.58157,                0.97269,                0.70323,                0.53165,                0.75444,                  0.824,                 1.1747,             0.00043402,             0.00043402,             0.00043402
                     24,                0.73862,                 1.1918,                 1.3546,                0.60154,                0.90488,                0.69339,                0.52428,                0.71049,                0.82535,                 1.1574,              0.0004188,              0.0004188,              0.0004188
                     25,                0.73002,                 1.1589,                 1.3448,                0.61748,                 0.8933,                0.69531,                0.52496,                0.74561,                0.84352,                 1.1588,             0.00040357,             0.00040357,             0.00040357
                     26,                0.71855,                 1.1819,                  1.336,                0.58822,                0.96634,                 0.6907,                0.53492,                0.68091,                0.81038,                 1.1057,             0.00038835,             0.00038835,             0.00038835
                     27,                0.71758,                 1.1431,                  1.337,                0.64174,                0.89736,                0.70634,                0.54353,                  0.725,                0.82159,                 1.1543,             0.00037312,             0.00037312,             0.00037312
                     28,                0.71191,                 1.1178,                 1.3285,                0.63377,                0.89821,                 0.6965,                0.53957,                0.70088,                0.81838,                 1.1315,             0.00035789,             0.00035789,             0.00035789
                     29,                0.67691,                 1.1171,                 1.2971,                0.61722,                0.91864,                0.68933,                0.52734,                0.69098,                0.81157,                 1.1122,             0.00034267,             0.00034267,             0.00034267
